"date","new_cases"
"1","2020-01-03",0
"2","2020-01-04",0
"3","2020-01-05",0
"4","2020-01-06",0
"5","2020-01-07",0
"6","2020-01-08",0
"7","2020-01-09",0
"8","2020-01-10",0
"9","2020-01-11",0
"10","2020-01-12",0
"11","2020-01-13",0
"12","2020-01-14",0
"13","2020-01-15",0
"14","2020-01-16",0
"15","2020-01-17",0
"16","2020-01-18",0
"17","2020-01-19",0
"18","2020-01-20",0
"19","2020-01-21",0
"20","2020-01-22",0
"21","2020-01-23",0
"22","2020-01-24",3
"23","2020-01-25",0
"24","2020-01-26",0
"25","2020-01-27",0
"26","2020-01-28",0
"27","2020-01-29",1
"28","2020-01-30",1
"29","2020-01-31",1
"30","2020-02-01",0
"31","2020-02-02",0
"32","2020-02-03",0
"33","2020-02-04",0
"34","2020-02-05",0
"35","2020-02-06",0
"36","2020-02-07",0
"37","2020-02-08",5
"38","2020-02-09",0
"39","2020-02-10",0
"40","2020-02-11",0
"41","2020-02-12",0
"42","2020-02-13",0
"43","2020-02-14",0
"44","2020-02-15",0
"45","2020-02-16",0
"46","2020-02-17",1
"47","2020-02-18",0
"48","2020-02-19",0
"49","2020-02-20",0
"50","2020-02-21",0
"51","2020-02-22",0
"52","2020-02-23",0
"53","2020-02-24",0
"54","2020-02-25",0
"55","2020-02-26",2
"56","2020-02-27",3
"57","2020-02-28",21
"58","2020-02-29",19
"59","2020-03-01",43
"60","2020-03-02",30
"61","2020-03-03",48
"62","2020-03-04",31
"63","2020-03-05",73
"64","2020-03-06",133
"65","2020-03-07",190
"66","2020-03-08",101
"67","2020-03-09",410
"68","2020-03-10",286
"69","2020-03-11",372
"70","2020-03-12",496
"71","2020-03-13",586
"72","2020-03-14",778
"73","2020-03-15",830
"74","2020-03-16",916
"75","2020-03-17",1202
"76","2020-03-18",1075
"77","2020-03-19",1387
"78","2020-03-20",1840
"79","2020-03-21",1571
"80","2020-03-22",1841
"81","2020-03-23",1525
"82","2020-03-24",3810
"83","2020-03-25",2412
"84","2020-03-26",2897
"85","2020-03-27",3846
"86","2020-03-28",3748
"87","2020-03-29",4611
"88","2020-03-30",2491
"89","2020-03-31",4341
"90","2020-04-01",7500
"91","2020-04-02",4784
"92","2020-04-03",2066
"93","2020-04-04",5209
"94","2020-04-05",4221
"95","2020-04-06",1850
"96","2020-04-07",3881
"97","2020-04-08",3737
"98","2020-04-09",3869
"99","2020-04-10",4256
"100","2020-04-11",4333
"101","2020-04-12",3104
"102","2020-04-13",1595
"103","2020-04-14",2669
"104","2020-04-15",5483
